date,BCHAIN-TOTBC,BCHAIN-MKPRU (USD),BCHAIN-AVBLS,BCHAIN-MIREV (USD),BCHAIN-HRATE,BCHAIN-NTRBL,BCHAIN-NADDU
2009-01-03,50.0,0.0,0.000271797180176,0.0,0.0,1.0,1.0
2009-01-04,50.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-01-05,50.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-01-06,50.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-01-07,50.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-01-08,50.0,0.0,0.0,0.0,6.959437748149999e-07,1.0,0.0
2009-01-09,750.0,0.0,0.000205039978027,0.0,1.5410183585200001e-06,1.0,14.0
2009-01-10,2300.0,0.0,0.000205039978027,0.0,5.26928858074e-06,1.0,31.0
2009-01-11,7600.0,0.0,0.00020540885205500004,0.0,4.42421399704e-06,1.0,106.0
2009-01-12,12050.0,0.0,0.000221477465683,0.0,5.71668100741e-06,1.0,96.0
2009-01-13,17800.0,0.0,0.00020797563635799999,0.0,6.26349397333e-06,1.0,117.0
2009-01-14,24100.0,0.0,0.00020588768853099999,0.0,6.31320424296e-06,1.0,126.0
2009-01-15,30450.0,0.0,0.00023054888868000002,0.0,5.76639127704e-06,1.0,136.0
2009-01-16,36250.0,0.0,0.000208188747538,0.0,5.36870912e-06,1.0,117.0
2009-01-17,41650.0,0.0,0.00020812175892,0.0,5.02073723259e-06,1.0,109.0
2009-01-18,46700.0,0.0,0.00020594644074400004,0.0,5.915522085930001e-06,1.0,101.0
2009-01-19,52650.0,0.0,0.000209383603905,0.0,5.76639127704e-06,1.0,120.0
2009-01-20,58450.0,0.0,0.000221984139804,0.0,5.617260468149998e-06,1.0,118.0
2009-01-21,64100.0,0.0,0.00021699888516299998,0.0,3.7282702222199996e-06,1.0,115.0
2009-01-22,67850.0,0.0,0.000220743815104,0.0,3.3305880651900002e-06,1.0,76.0
2009-01-23,71200.0,0.0,0.00021165876246200002,0.0,9.8923436563e-06,1.0,68.0
2009-01-24,81150.0,0.0,0.00021526202484599999,0.0,9.64379230815e-06,1.0,201.0
2009-01-25,90850.0,0.0,0.00020691783157799997,0.0,5.76639127704e-06,1.0,195.0
2009-01-26,96650.0,0.0,0.000205853889728,0.0,5.120157771849998e-06,1.0,116.0
2009-01-27,101800.0,0.0,0.00023128916916299996,0.0,5.120157771849998e-06,1.0,105.0
2009-01-28,106950.0,0.0,0.000205780695943,0.0,6.06465289481e-06,1.0,103.0
2009-01-29,113050.0,0.0,0.00020548554717500004,0.0,6.0149426251899985e-06,1.0,122.0
2009-01-30,119100.0,0.0,0.000217043663845,0.0,6.41262478222e-06,1.0,122.0
2009-01-31,125550.0,0.0,0.00020557226136700004,0.0,5.76639127704e-06,1.0,129.0
2009-02-01,131350.0,0.0,0.00022719646322299998,0.0,6.31320424296e-06,1.0,118.0
2009-02-02,137700.0,0.0,0.00020583595816499998,0.0,6.76059666963e-06,1.0,127.0
2009-02-03,144500.0,0.0,0.000233075198005,0.0,6.11436316444e-06,1.0,145.0
2009-02-04,150650.0,0.0,0.00021208786382900002,0.0,6.0149426251899985e-06,1.0,129.0
2009-02-05,156700.0,0.0,0.000205725677742,0.0,6.41262478222e-06,1.0,121.0
2009-02-06,163150.0,0.0,0.00020581622456400001,0.0,6.26349397333e-06,1.0,129.0
2009-02-07,169450.0,0.0,0.000229752252972,0.0,6.6611761303699995e-06,1.0,131.0
2009-02-08,176150.0,0.0,0.00020745263170800002,0.0,6.36291451259e-06,1.0,135.0
2009-02-09,182550.0,0.0,0.00024355202913299998,0.0,6.31320424296e-06,1.0,129.0
2009-02-10,188900.0,0.0,0.00020567826398700003,0.0,6.512045321479998e-06,1.0,127.0
2009-02-11,195450.0,0.0,0.000214766000063,0.0,5.8658118163e-06,1.0,132.0
2009-02-12,201350.0,0.0,0.000210269022796,0.0,6.16407343407e-06,1.0,119.0
2009-02-13,207550.0,0.0,0.00020586290667099999,0.0,7.00914801778e-06,1.0,124.0
2009-02-14,214600.0,0.0,0.000205865143039,0.0,6.06465289481e-06,1.0,141.0
2009-02-15,220700.0,0.0,0.00021932164176599996,0.0,6.11436316444e-06,1.0,125.0
2009-02-16,226850.0,0.0,0.000205885104048,0.0,5.8658118163e-06,1.0,123.0
2009-02-17,232750.0,0.0,0.00023376335532000002,0.0,6.16407343407e-06,1.0,119.0
