date,dow(USD),euro_stoxx50(USD),nasdaq(USD),nikkei(USD),oro(USD),petroleo(USD),shangai_stock_exchange(USD),sp_500(USD),BCHAIN-TOTBC,BCHAIN-AVBLS,BCHAIN-MIREV (USD),BCHAIN-HRATE,BCHAIN-NTRBL,BCHAIN-NADDU,eur_usd,cny_usd,gbp_usd,BCHAIN-MKPRU (USD)
2015-01-15,43.31,3157.36,45.76,17108.7,1392.8,46.25,4.18,1992.67,13727150.0,0.413363230314,761422.01,303832.201585,824.0,212403.0,1.1631,0.1616,1.5183,218.11
2015-01-16,44.79,3202.24,46.29,16864.16,1404.9,48.69,4.18,2019.42,13730725.0,0.38230802548799997,768009.0,325690.633354,731.0,219873.0,1.157,0.1611,1.5151,205.35
2015-01-17,44.79,3202.24,46.29,16864.16,1341.95,48.769999999999996,4.18,2019.42,13734300.0,0.3661553181,677501.44,299460.51523099997,633.0,254267.0,1.157,0.1611,1.5151,197.12
2015-01-18,44.79,3211.5699999999997,46.29,16939.225,1279.0,48.85,4.18,2019.42,13738025.0,0.330078419423,789179.66,325690.633354,703.0,223392.0,1.1588,0.16094999999999998,1.5131000000000001,211.18
2015-01-19,44.46,3220.9,46.120000000000005,17014.29,1275.9,47.78,4.18,2020.9850000000001,13741900.0,0.343385597967,826197.1,338805.692415,740.0,197559.0,1.1606,0.1608,1.5111,212.39
2015-01-20,44.13,3244.92,45.95,17366.3,1412.4,46.39,4.18,2022.55,13744900.0,0.420680117607,641951.86,262301.181225,653.0,194860.0,1.1551,0.1609,1.5145,212.99
2015-01-21,44.74,3269.73,45.7,17280.48,1413.4,47.78,4.18,2032.12,13748325.0,0.38801431307800005,739857.6,299460.51523099997,830.0,197159.0,1.161,0.161,1.5143,215.2
2015-01-22,45.36,3322.65,46.54,17329.02,1425.2,46.31,4.18,2063.15,13752075.0,0.340373795827,880165.7,327876.476531,683.0,188687.0,1.1366,0.1611,1.501,233.9
2015-01-23,44.57,3382.55,46.56,17511.75,1417.6,45.59,4.18,2051.82,13755175.0,0.36177402927,725422.39,271044.553932,565.0,179966.0,1.1208,0.1606,1.499,233.03
2015-01-24,44.57,3382.55,46.56,17511.75,1417.6,45.59,4.18,2051.82,13758200.0,0.380717994753,742971.68,264487.024401,520.0,172854.0,1.1208,0.1606,1.499,244.64
2015-01-25,44.565,3398.415,46.565,17490.135000000002,1411.6,45.370000000000005,4.18,2054.455,13761350.0,0.386314664568,781361.82,275416.240286,621.0,256121.0,1.12235,0.16025,1.5035,247.11
2015-01-26,44.56,3414.28,46.57,17468.52,1405.6,45.15,4.18,2057.09,13764525.0,0.497747826764,866260.77,277602.083463,540.0,236920.0,1.1239,0.1599,1.508,271.47
2015-01-27,44.17,3372.58,46.08,17768.3,1414.7,46.23,4.18,2029.55,13768150.0,0.3737817501199999,967817.14,316947.260646,465.0,204121.0,1.1381,0.1602,1.5197,266.03
2015-01-28,43.03,3358.96,45.04,17795.73,1402.2,44.45,4.18,2002.16,13772100.0,0.285818299161,987528.5,324166.338972,566.0,165874.0,1.1288,0.1601,1.5135,249.25
2015-01-29,45.01,3371.83,45.17,17606.22,1363.8,44.53,4.18,2021.25,13776350.0,0.25317328397,993622.59,348786.567248,692.0,171619.0,1.132,0.1601,1.5067,233.19
2015-01-30,45.16,3351.44,45.6,17674.39,1384.6,48.24,4.18,1994.99,13779825.0,0.312656443754,802163.46,285184.310868,554.0,167768.0,1.1288,0.16,1.5069,230.11
2015-01-31,45.375,3245.44,46.730000000000004,17674.39,1361.15,50.465,4.18,2026.5949999999998,13783700.0,0.312994187878,892843.9,318011.281903,612.0,239182.0,1.16455,0.16055,1.51985,229.7
2015-02-01,45.59,3139.44,47.86,17616.215,1337.7,52.69,4.18,2058.2,13787950.0,0.252240713905,940487.92,348786.567248,476.0,208727.0,1.2003,0.1611,1.5328,220.72
2015-02-02,45.22,3370.11,46.81,17558.04,1382.4,49.57,3.6799999999999997,2020.85,13791625.0,0.314943800167,822201.0,301597.796385,501.0,185554.0,1.1342,0.1598,1.504,223.0
2015-02-03,49.35,3591.09,50.92,18826.88,1305.8,49.59,3.18,2117.39,13795000.0,0.37286321145499995,801295.88,276977.56810900004,646.0,207461.0,1.1185,0.1594,1.5364,236.51
2015-02-04,48.24,3715.27,50.11,19312.79,1288.2,49.14,3.63,2066.96,13799025.0,0.28838168908399997,898474.72,330321.39604099997,618.0,198955.0,1.0884,0.1614,1.4829,222.56
2015-02-05,50.445,3638.58,50.855000000000004,19927.989999999998,1288.0,55.2,4.045,2088.2799999999997,13802700.0,0.316438460837,801443.19,301597.796385,690.0,181629.0,1.10195,0.16135,1.50865,217.37
2015-02-06,52.65,3561.89,51.6,20543.19,1287.8,61.26,4.46,2109.6,13807075.0,0.246140229361,966981.42,359044.995697,658.0,186259.0,1.1155,0.1613,1.5344,220.47
2015-02-07,51.38,3463.25,49.13,20522.5,1261.5,56.93,3.59,2076.78,13811375.0,0.260935661405,970889.92,352889.93862800003,690.0,180449.0,1.1084,0.1612,1.5609,225.16
2015-02-08,46.885000000000005,3331.0550000000003,49.955,19308.95,1237.95,51.59,3.275,2012.8200000000002,13814575.0,0.374416463077,717658.5,262615.76828099997,767.0,251391.0,1.11555,0.15925,1.5455,223.5
2015-02-09,42.39,3198.86,50.78,18095.4,1214.4,46.25,2.96,1948.86,13818450.0,0.35112666468500003,856876.32,342533.06066799996,664.0,197636.0,1.1227,0.1573,1.5301,220.39
2015-02-10,44.45,3088.18,52.63,17725.13,1204.2,45.54,3.02,1951.36,13822200.0,0.349096603394,828682.24,331483.607098,636.0,189629.0,1.1211,0.1573,1.5182,220.16
2015-02-11,51.59,3434.5,59.67,18683.24,1190.4,46.14,3.08,2104.05,13825950.0,0.36220116933200003,835570.36,331483.607098,654.0,189188.0,1.1015,0.1578,1.5417,221.99
2015-02-12,52.29,3468.66,58.51,19938.13,1112.4,39.94,3.23,2079.51,13829350.0,0.37019118842,757105.79,300545.137102,638.0,202264.0,1.0615,0.1563,1.4951,221.83
2015-02-13,49.44,3447.59,49.48,17913.36,1325.2,52.78,3.09,2096.99,13832850.0,0.459659004211,843389.1,309384.699958,649.0,256202.0,1.1385,0.1602,1.54,239.94
2015-02-14,49.44,3447.59,49.48,17913.36,1277.0,53.42,3.09,2096.99,13836875.0,0.434725180916,991297.71,355792.404952,585.0,243646.0,1.1385,0.1602,1.54,245.31
2015-02-15,49.44,3440.445,49.48,17959.065000000002,1228.8,54.06,3.0999999999999996,2096.99,13840225.0,0.440848720607,820538.37,296125.355674,582.0,295507.0,1.1369,0.16010000000000002,1.5381,243.99
2015-02-16,49.504999999999995,3433.3,49.7,18004.77,1231.7,53.61,3.11,2098.665,13844175.0,0.40686262710199994,935184.9,349162.73281,670.0,223579.0,1.1353,0.16,1.5362,235.86
2015-02-17,49.57,3438.44,49.92,17987.09,1309.9,53.53,3.13,2100.34,13848050.0,0.384952668221,949160.0,342533.06066799996,569.0,226216.0,1.1412,0.1599,1.5354,244.0
2015-02-18,49.41,3465.8,49.91,18199.17,1301.5,52.14,3.13,2099.68,13852075.0,0.375044171114,948874.8,355792.404952,707.0,223247.0,1.1397,0.1599,1.5435,234.87
2015-02-19,49.68,3488.08,50.3,18264.79,1306.9,51.16,3.13,2097.45,13856175.0,0.307401976934,993659.67,362422.077094,756.0,181312.0,1.1366,0.1599,1.5413,241.59
2015-02-20,49.53,3490.53,50.94,18332.3,1303.2,50.34,3.13,2110.3,13860325.0,0.32941601075300003,1013940.28,366841.85852199997,671.0,194679.0,1.1381,0.1599,1.54,243.56
2015-02-21,49.53,3490.53,50.94,18332.3,1303.2,50.34,3.13,2110.3,13863775.0,0.417947161025,850966.24,304964.91853,703.0,248310.0,1.1381,0.1599,1.54,245.66
