"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"15.01.2021","0.1545","0.1545","0.1547","0.1544","0.00%"
"14.01.2021","0.1544","0.1546","0.1548","0.1544","-0.11%"
"13.01.2021","0.1546","0.1550","0.1551","0.1545","-0.03%"
"12.01.2021","0.1547","0.1544","0.1549","0.1543","0.24%"
"11.01.2021","0.1543","0.1543","0.1546","0.1540","-0.09%"
"08.01.2021","0.1544","0.1544","0.1548","0.1544","0.00%"
"07.01.2021","0.1544","0.1548","0.1549","0.1543","-0.21%"
"06.01.2021","0.1547","0.1549","0.1550","0.1547","-0.11%"
"05.01.2021","0.1549","0.1548","0.1555","0.1546","0.09%"
"04.01.2021","0.1547","0.1535","0.1549","0.1534","1.08%"
"01.01.2021","0.1531","0.1532","0.1532","0.1531","-0.07%"
"31.12.2020","0.1532","0.1533","0.1535","0.1525","-0.04%"
"30.12.2020","0.1532","0.1531","0.1534","0.1530","0.09%"
"29.12.2020","0.1531","0.1530","0.1532","0.1529","0.12%"
"28.12.2020","0.1529","0.1529","0.1532","0.1528","0.05%"
"25.12.2020","0.1528","0.1531","0.1534","0.1528","-0.19%"
"24.12.2020","0.1531","0.1529","0.1532","0.1529","0.17%"
"23.12.2020","0.1529","0.1527","0.1531","0.1525","0.04%"
"22.12.2020","0.1528","0.1528","0.1529","0.1526","0.14%"
"21.12.2020","0.1526","0.1527","0.1528","0.1525","-0.19%"
"18.12.2020","0.1529","0.1531","0.1531","0.1528","-0.09%"
"17.12.2020","0.1530","0.1532","0.1532","0.1528","0.00%"
"16.12.2020","0.1531","0.1530","0.1533","0.1528","0.11%"
"15.12.2020","0.1529","0.1528","0.1530","0.1525","0.21%"
"14.12.2020","0.1526","0.1531","0.1531","0.1526","-0.09%"
"11.12.2020","0.1527","0.1530","0.1530","0.1527","0.00%"
"10.12.2020","0.1527","0.1528","0.1529","0.1526","0.00%"
"09.12.2020","0.1528","0.1532","0.1534","0.1527","-0.16%"
"08.12.2020","0.1530","0.1531","0.1534","0.1529","-0.09%"
"07.12.2020","0.1531","0.1532","0.1532","0.1528","0.05%"
"04.12.2020","0.1531","0.1528","0.1532","0.1526","0.17%"
"03.12.2020","0.1528","0.1526","0.1529","0.1523","0.30%"
"02.12.2020","0.1524","0.1523","0.1526","0.1522","0.16%"
"01.12.2020","0.1521","0.1520","0.1524","0.1518","0.12%"
"30.11.2020","0.1519","0.1520","0.1522","0.1516","0.00%"
"27.11.2020","0.1520","0.1521","0.1522","0.1519","-0.04%"
"26.11.2020","0.1520","0.1523","0.1524","0.1520","0.09%"
"25.11.2020","0.1519","0.1517","0.1522","0.1517","0.15%"
"24.11.2020","0.1517","0.1520","0.1521","0.1517","-0.09%"
"23.11.2020","0.1518","0.1526","0.1526","0.1518","-0.33%"
"20.11.2020","0.1523","0.1521","0.1524","0.1519","0.35%"
"19.11.2020","0.1518","0.1524","0.1524","0.1517","-0.39%"
"18.11.2020","0.1524","0.1525","0.1529","0.1523","-0.07%"
"17.11.2020","0.1525","0.1519","0.1527","0.1519","0.44%"
"16.11.2020","0.1518","0.1518","0.1522","0.1517","0.34%"
"13.11.2020","0.1513","0.1511","0.1514","0.1509","0.08%"
"12.11.2020","0.1512","0.1508","0.1513","0.1507","0.27%"
"11.11.2020","0.1508","0.1513","0.1517","0.1508","-0.23%"
"10.11.2020","0.1511","0.1510","0.1516","0.1509","0.22%"
"09.11.2020","0.1508","0.1517","0.1524","0.1507","-0.24%"
"06.11.2020","0.1512","0.1512","0.1514","0.1506","-0.07%"
"05.11.2020","0.1513","0.1506","0.1514","0.1501","0.74%"
"04.11.2020","0.1502","0.1491","0.1503","0.1481","0.31%"
"03.11.2020","0.1497","0.1497","0.1498","0.1493","0.20%"
"02.11.2020","0.1494","0.1494","0.1497","0.1492","0.00%"
"30.10.2020","0.1494","0.1489","0.1497","0.1489","0.34%"
"29.10.2020","0.1489","0.1486","0.1492","0.1486","0.21%"
"28.10.2020","0.1486","0.1489","0.1491","0.1486","-0.35%"
"27.10.2020","0.1491","0.1490","0.1493","0.1487","0.09%"
"26.10.2020","0.1490","0.1496","0.1497","0.1489","-0.35%"
"23.10.2020","0.1495","0.1496","0.1500","0.1494","-0.03%"
"22.10.2020","0.1495","0.1504","0.1505","0.1495","-0.52%"
"21.10.2020","0.1503","0.1498","0.1506","0.1498","0.39%"
"20.10.2020","0.1497","0.1497","0.1498","0.1494","0.09%"
"19.10.2020","0.1496","0.1493","0.1497","0.1492","0.22%"
"16.10.2020","0.1493","0.1488","0.1494","0.1487","0.43%"
"15.10.2020","0.1486","0.1489","0.1489","0.1485","-0.16%"
"14.10.2020","0.1489","0.1482","0.1490","0.1482","0.47%"
"13.10.2020","0.1482","0.1480","0.1485","0.1479","0.00%"
"12.10.2020","0.1482","0.1494","0.1494","0.1480","-0.75%"
"09.10.2020","0.1493","0.1487","0.1494","0.1486","1.41%"
"08.10.2020","0.1473","0.1473","0.1473","0.1473","0.00%"
"07.10.2020","0.1473","0.1473","0.1473","0.1473","0.00%"
"06.10.2020","0.1473","0.1473","0.1473","0.1473","0.00%"
"05.10.2020","0.1473","0.1473","0.1473","0.1473","0.00%"
"02.10.2020","0.1472","0.1473","0.1473","0.1473","0.00%"
"01.10.2020","0.1472","0.1473","0.1473","0.1473","0.00%"
"30.09.2020","0.1472","0.1468","0.1474","0.1467","0.38%"
"29.09.2020","0.1467","0.1466","0.1468","0.1465","-0.07%"
"28.09.2020","0.1468","0.1467","0.1468","0.1465","0.18%"
"25.09.2020","0.1465","0.1469","0.1469","0.1463","0.07%"
"24.09.2020","0.1464","0.1469","0.1469","0.1463","-0.27%"
"23.09.2020","0.1468","0.1472","0.1474","0.1468","-0.44%"
"22.09.2020","0.1475","0.1469","0.1477","0.1469","0.36%"
"21.09.2020","0.1469","0.1479","0.1480","0.1469","-0.51%"
"18.09.2020","0.1477","0.1481","0.1481","0.1476","-0.04%"
"17.09.2020","0.1477","0.1480","0.1481","0.1475","-0.18%"
"16.09.2020","0.1480","0.1476","0.1481","0.1475","0.39%"
"15.09.2020","0.1474","0.1468","0.1477","0.1468","0.44%"
"14.09.2020","0.1468","0.1463","0.1469","0.1463","0.33%"
"11.09.2020","0.1463","0.1463","0.1464","0.1462","0.00%"
"10.09.2020","0.1463","0.1464","0.1465","0.1461","0.00%"
"09.09.2020","0.1463","0.1461","0.1464","0.1458","0.20%"
"08.09.2020","0.1460","0.1464","0.1465","0.1460","-0.27%"
"07.09.2020","0.1464","0.1464","0.1465","0.1463","0.19%"
"04.09.2020","0.1461","0.1461","0.1463","0.1460","0.09%"
"03.09.2020","0.1460","0.1463","0.1465","0.1460","-0.16%"
"02.09.2020","0.1462","0.1464","0.1466","0.1462","-0.14%"
"01.09.2020","0.1464","0.1461","0.1468","0.1460","0.30%"
"31.08.2020","0.1460","0.1457","0.1462","0.1457","0.24%"
"28.08.2020","0.1456","0.1451","0.1458","0.1451","0.42%"
"27.08.2020","0.1450","0.1452","0.1455","0.1450","-0.12%"
"26.08.2020","0.1452","0.1448","0.1452","0.1448","0.40%"
"25.08.2020","0.1446","0.1447","0.1448","0.1446","0.11%"
"24.08.2020","0.1445","0.1446","0.1447","0.1445","0.00%"
"21.08.2020","0.1445","0.1447","0.1449","0.1444","-0.05%"
"20.08.2020","0.1446","0.1445","0.1447","0.1443","0.07%"
"19.08.2020","0.1445","0.1446","0.1448","0.1444","0.00%"
"18.08.2020","0.1445","0.1442","0.1447","0.1441","0.17%"
"17.08.2020","0.1442","0.1439","0.1443","0.1439","0.24%"
"14.08.2020","0.1439","0.1439","0.1441","0.1438","-0.07%"
"13.08.2020","0.1440","0.1443","0.1443","0.1439","-0.12%"
"12.08.2020","0.1441","0.1439","0.1442","0.1437","0.19%"
"11.08.2020","0.1439","0.1436","0.1441","0.1436","0.16%"
"10.08.2020","0.1436","0.1436","0.1437","0.1434","0.09%"
"07.08.2020","0.1435","0.1438","0.1438","0.1433","-0.20%"
"06.08.2020","0.1438","0.1442","0.1442","0.1438","-0.24%"
"05.08.2020","0.1441","0.1436","0.1442","0.1435","0.53%"
"04.08.2020","0.1434","0.1432","0.1434","0.1431","0.09%"
"03.08.2020","0.1432","0.1432","0.1435","0.1431","-0.08%"
"31.07.2020","0.1434","0.1430","0.1435","0.1430","0.48%"
"30.07.2020","0.1427","0.1430","0.1430","0.1427","-0.10%"
"29.07.2020","0.1428","0.1428","0.1430","0.1427","0.00%"
"28.07.2020","0.1428","0.1431","0.1431","0.1426","-0.06%"
"27.07.2020","0.1429","0.1429","0.1430","0.1427","0.29%"
"24.07.2020","0.1425","0.1428","0.1428","0.1424","-0.18%"
"23.07.2020","0.1428","0.1427","0.1430","0.1426","-0.05%"
"22.07.2020","0.1429","0.1434","0.1436","0.1426","-0.28%"
"21.07.2020","0.1433","0.1432","0.1433","0.1429","0.04%"
"20.07.2020","0.1432","0.1430","0.1432","0.1428","0.12%"
"17.07.2020","0.1430","0.1429","0.1430","0.1428","-0.04%"
"16.07.2020","0.1431","0.1432","0.1432","0.1428","0.00%"
"15.07.2020","0.1431","0.1430","0.1432","0.1427","0.27%"
"14.07.2020","0.1427","0.1426","0.1428","0.1424","-0.14%"
"13.07.2020","0.1429","0.1428","0.1430","0.1427","0.06%"
"10.07.2020","0.1428","0.1429","0.1429","0.1426","-0.11%"
"09.07.2020","0.1430","0.1429","0.1433","0.1428","0.15%"
"08.07.2020","0.1428","0.1424","0.1429","0.1423","0.14%"
"07.07.2020","0.1426","0.1427","0.1428","0.1423","0.07%"
"06.07.2020","0.1425","0.1416","0.1425","0.1416","0.68%"
"03.07.2020","0.1415","0.1415","0.1416","0.1414","0.00%"
"02.07.2020","0.1415","0.1416","0.1416","0.1414","0.06%"
"01.07.2020","0.1414","0.1415","0.1417","0.1414","-0.08%"
"30.06.2020","0.1415","0.1414","0.1416","0.1412","0.22%"
"29.06.2020","0.1412","0.1412","0.1414","0.1412","-0.04%"
"26.06.2020","0.1413","0.1413","0.1413","0.1413","0.00%"
"25.06.2020","0.1413","0.1413","0.1413","0.1413","0.00%"
"24.06.2020","0.1413","0.1417","0.1418","0.1413","-0.27%"
"23.06.2020","0.1417","0.1415","0.1417","0.1411","0.13%"
"22.06.2020","0.1415","0.1412","0.1415","0.1412","0.06%"
"19.06.2020","0.1414","0.1410","0.1414","0.1410","0.24%"
"18.06.2020","0.1411","0.1410","0.1414","0.1410","-0.05%"
"17.06.2020","0.1411","0.1411","0.1412","0.1409","0.00%"
"16.06.2020","0.1411","0.1413","0.1415","0.1411","0.06%"
"15.06.2020","0.1410","0.1412","0.1412","0.1409","-0.11%"
"12.06.2020","0.1412","0.1412","0.1414","0.1411","-0.26%"
"11.06.2020","0.1415","0.1416","0.1417","0.1413","-0.06%"
"10.06.2020","0.1416","0.1413","0.1417","0.1411","0.23%"
"09.06.2020","0.1413","0.1413","0.1414","0.1410","-0.08%"
"08.06.2020","0.1414","0.1412","0.1415","0.1410","0.15%"
"05.06.2020","0.1412","0.1407","0.1412","0.1406","0.40%"
"04.06.2020","0.1406","0.1405","0.1407","0.1402","0.08%"
"03.06.2020","0.1405","0.1410","0.1410","0.1403","-0.20%"
"02.06.2020","0.1408","0.1405","0.1409","0.1404","0.37%"
"01.06.2020","0.1403","0.1405","0.1406","0.1401","0.13%"
"29.05.2020","0.1401","0.1397","0.1402","0.1397","0.13%"
"28.05.2020","0.1399","0.1395","0.1400","0.1395","0.33%"
"27.05.2020","0.1395","0.1401","0.1402","0.1393","-0.48%"
"26.05.2020","0.1402","0.1402","0.1403","0.1401","0.00%"
"25.05.2020","0.1401","0.1402","0.1402","0.1400","-0.09%"
"22.05.2020","0.1402","0.1405","0.1406","0.1399","-0.21%"
"21.05.2020","0.1405","0.1410","0.1410","0.1405","-0.31%"
"20.05.2020","0.1410","0.1408","0.1410","0.1406","0.08%"
"19.05.2020","0.1409","0.1408","0.1409","0.1406","0.15%"
"18.05.2020","0.1407","0.1407","0.1408","0.1404","-0.11%"
"15.05.2020","0.1408","0.1409","0.1410","0.1407","-0.09%"
"14.05.2020","0.1409","0.1409","0.1410","0.1408","-0.05%"
"13.05.2020","0.1410","0.1412","0.1412","0.1409","-0.13%"
"12.05.2020","0.1412","0.1409","0.1413","0.1408","0.23%"
"11.05.2020","0.1409","0.1413","0.1414","0.1408","-0.35%"
"08.05.2020","0.1414","0.1414","0.1415","0.1412","0.14%"
"07.05.2020","0.1412","0.1407","0.1412","0.1407","0.29%"
"06.05.2020","0.1408","0.1416","0.1416","0.1407","-0.60%"
"05.05.2020","0.1416","0.1416","0.1416","0.1416","0.00%"
"04.05.2020","0.1416","0.1416","0.1416","0.1416","0.00%"
"01.05.2020","0.1416","0.1416","0.1416","0.1416","0.00%"
"30.04.2020","0.1416","0.1415","0.1419","0.1415","0.21%"
"29.04.2020","0.1413","0.1413","0.1414","0.1412","0.04%"
"28.04.2020","0.1413","0.1412","0.1414","0.1410","0.10%"
"27.04.2020","0.1411","0.1414","0.1414","0.1410","-0.06%"
"24.04.2020","0.1412","0.1412","0.1414","0.1411","-0.21%"
"23.04.2020","0.1415","0.1412","0.1415","0.1411","0.25%"
"22.04.2020","0.1412","0.1411","0.1413","0.1410","0.11%"
