"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"31.12.2020","0.968300","0.969150","0.971000","0.967850","-0.07%"
"30.12.2020","0.969000","0.965400","0.971250","0.965200","0.38%"
"29.12.2020","0.965300","0.963150","0.966600","0.962950","0.21%"
"28.12.2020","0.963300","0.965850","0.967150","0.962500","-0.29%"
"25.12.2020","0.966100","0.964850","0.967200","0.964400","0.15%"
"24.12.2020","0.964700","0.965450","0.966200","0.963700","-0.07%"
"23.12.2020","0.965400","0.964850","0.967550","0.964700","0.07%"
"22.12.2020","0.964700","0.968000","0.968250","0.963900","-0.32%"
"21.12.2020","0.967800","0.967350","0.968550","0.962550","0.01%"
"18.12.2020","0.967700","0.969700","0.969950","0.965250","-0.20%"
"17.12.2020","0.969600","0.966250","0.972050","0.965550","0.36%"
"16.12.2020","0.966100","0.964600","0.968400","0.962300","0.18%"
"15.12.2020","0.964400","0.961150","0.965250","0.960100","0.35%"
"14.12.2020","0.961000","0.961500","0.966100","0.960450","-0.02%"
"11.12.2020","0.961200","0.959550","0.963200","0.958900","0.19%"
"10.12.2020","0.959400","0.959350","0.960000","0.956100","0.01%"
"09.12.2020","0.959300","0.960050","0.961100","0.957700","-0.06%"
"08.12.2020","0.959900","0.960850","0.962000","0.959500","-0.11%"
"07.12.2020","0.961000","0.960300","0.962350","0.958550","0.10%"
"04.12.2020","0.960000","0.963000","0.964000","0.959150","-0.29%"
"03.12.2020","0.962800","0.957750","0.964650","0.956550","0.55%"
"02.12.2020","0.957500","0.958550","0.959500","0.954550","-0.08%"
"01.12.2020","0.958300","0.958650","0.959900","0.956100","-0.05%"
"30.11.2020","0.958800","0.960950","0.963150","0.957750","-0.16%"
"27.11.2020","0.960300","0.959050","0.962450","0.958850","0.15%"
"26.11.2020","0.958900","0.957300","0.959600","0.957050","0.19%"
"25.11.2020","0.957100","0.957550","0.959150","0.955950","-0.02%"
"24.11.2020","0.957300","0.956450","0.960200","0.954500","0.10%"
"23.11.2020","0.956300","0.963150","0.964500","0.955550","-0.68%"
"20.11.2020","0.962800","0.963950","0.964300","0.962350","-0.11%"
"19.11.2020","0.963900","0.963250","0.964150","0.959450","0.10%"
"18.11.2020","0.962900","0.959550","0.964850","0.959450","0.35%"
"17.11.2020","0.959500","0.956200","0.960950","0.955750","0.36%"
"16.11.2020","0.956100","0.953450","0.958250","0.951100","0.05%"
"13.11.2020","0.955600","0.951150","0.956400","0.950850","0.47%"
"12.11.2020","0.951100","0.948550","0.951800","0.948000","0.28%"
"11.11.2020","0.948400","0.949700","0.952400","0.946150","-0.11%"
"10.11.2020","0.949400","0.949000","0.954250","0.947850","0.05%"
"09.11.2020","0.948900","0.967650","0.969050","0.946450","-1.90%"
"06.11.2020","0.967300","0.966350","0.969300","0.963700","0.13%"
"05.11.2020","0.966000","0.956450","0.966750","0.956350","0.99%"
"04.11.2020","0.956500","0.957150","0.960200","0.949200","-0.04%"
"03.11.2020","0.956900","0.955050","0.957550","0.954050","0.23%"
"02.11.2020","0.954700","0.956250","0.956600","0.952750","-0.07%"
"30.10.2020","0.955400","0.955700","0.960400","0.954650","-0.03%"
"29.10.2020","0.955700","0.958650","0.961300","0.954750","-0.30%"
"28.10.2020","0.958600","0.957750","0.960500","0.956350","0.13%"
"27.10.2020","0.957400","0.953850","0.958000","0.953300","0.38%"
"26.10.2020","0.953800","0.954700","0.955600","0.951800","-0.12%"
"23.10.2020","0.954900","0.953800","0.956550","0.952850","0.13%"
"22.10.2020","0.953700","0.956150","0.957250","0.953000","-0.24%"
"21.10.2020","0.956000","0.947900","0.958450","0.947600","0.88%"
"20.10.2020","0.947700","0.948450","0.948850","0.945550","-0.06%"
"19.10.2020","0.948300","0.948800","0.949700","0.947750","-0.01%"
"16.10.2020","0.948400","0.948250","0.950700","0.948200","0.03%"
"15.10.2020","0.948100","0.951150","0.951550","0.947850","-0.28%"
"14.10.2020","0.950800","0.947900","0.952050","0.947600","0.30%"
"13.10.2020","0.948000","0.949350","0.949900","0.946600","-0.15%"
"12.10.2020","0.949400","0.946050","0.950250","0.944400","0.27%"
"09.10.2020","0.946800","0.943100","0.947200","0.942950","0.40%"
"08.10.2020","0.943000","0.943700","0.944150","0.942400","-0.05%"
"07.10.2020","0.943500","0.946650","0.947000","0.942350","-0.32%"
"06.10.2020","0.946500","0.945750","0.948150","0.945300","0.10%"
"05.10.2020","0.945600","0.949700","0.949800","0.945150","-0.40%"
"02.10.2020","0.949400","0.947750","0.952950","0.946250","0.20%"
"01.10.2020","0.947500","0.948150","0.948800","0.945550","-0.09%"
"30.09.2020","0.948400","0.946650","0.948800","0.945100","0.22%"
"29.09.2020","0.946300","0.947850","0.949300","0.945600","-0.15%"
"28.09.2020","0.947700","0.947750","0.950000","0.946150","0.11%"
"25.09.2020","0.946700","0.948650","0.950250","0.946000","-0.19%"
"24.09.2020","0.948500","0.948750","0.950600","0.947500","-0.03%"
"23.09.2020","0.948800","0.952950","0.953350","0.947850","-0.44%"
"22.09.2020","0.953000","0.955550","0.957850","0.951550","-0.26%"
"21.09.2020","0.955500","0.957450","0.961500","0.953800","-0.05%"
"18.09.2020","0.956000","0.954750","0.959100","0.953550","0.14%"
"17.09.2020","0.954700","0.952800","0.956750","0.950750","0.21%"
"16.09.2020","0.952700","0.948400","0.954250","0.948300","0.44%"
"15.09.2020","0.948500","0.945850","0.949700","0.944900","0.30%"
"14.09.2020","0.945700","0.941950","0.947450","0.941500","0.42%"
"11.09.2020","0.941700","0.942300","0.942900","0.940900","-0.05%"
"10.09.2020","0.942200","0.941550","0.943600","0.940700","0.06%"
"09.09.2020","0.941600","0.943150","0.945350","0.940800","-0.15%"
"08.09.2020","0.943000","0.940750","0.944650","0.939900","0.22%"
"07.09.2020","0.940900","0.940950","0.942300","0.939900","-0.02%"
"04.09.2020","0.941100","0.941950","0.942900","0.938900","-0.04%"
"03.09.2020","0.941500","0.941750","0.943400","0.938400","-0.02%"
"02.09.2020","0.941700","0.943700","0.944750","0.940600","-0.21%"
"01.09.2020","0.943700","0.944050","0.947050","0.942000","-0.04%"
"31.08.2020","0.944100","0.949150","0.949700","0.942500","-0.52%"
"28.08.2020","0.949000","0.938400","0.950650","0.934950","1.14%"
"27.08.2020","0.938300","0.943500","0.946950","0.937050","-0.54%"
"26.08.2020","0.943400","0.940050","0.943850","0.938450","0.38%"
"25.08.2020","0.939800","0.943600","0.944600","0.938200","-0.38%"
"24.08.2020","0.943400","0.944600","0.946200","0.943300","-0.18%"
"21.08.2020","0.945100","0.945300","0.948450","0.942650","0.01%"
"20.08.2020","0.945000","0.942400","0.945700","0.941400","0.30%"
"19.08.2020","0.942200","0.948450","0.951500","0.942050","-0.67%"
"18.08.2020","0.948600","0.943350","0.949850","0.942750","0.57%"
"17.08.2020","0.943200","0.937850","0.943900","0.937500","0.57%"
"14.08.2020","0.937900","0.935400","0.939550","0.934200","0.30%"
"13.08.2020","0.935100","0.935600","0.938450","0.934050","-0.01%"
"12.08.2020","0.935200","0.938850","0.939500","0.934350","-0.40%"
"11.08.2020","0.939000","0.943750","0.944100","0.937200","-0.50%"
"10.08.2020","0.943700","0.943800","0.946050","0.941550","-0.02%"
"07.08.2020","0.943900","0.947750","0.948100","0.942850","-0.36%"
"06.08.2020","0.947300","0.947200","0.949700","0.946000","0.03%"
"05.08.2020","0.947000","0.945900","0.949550","0.944450","0.14%"
"04.08.2020","0.945700","0.943800","0.946650","0.941550","0.21%"
"03.08.2020","0.943700","0.944450","0.947200","0.939150","-0.08%"
"31.07.2020","0.944500","0.955050","0.959900","0.942850","-1.07%"
"30.07.2020","0.954700","0.953100","0.955300","0.949650","0.18%"
"29.07.2020","0.953000","0.951600","0.954550","0.950100","0.17%"
"28.07.2020","0.951400","0.949050","0.952800","0.946100","0.26%"
"27.07.2020","0.948900","0.943650","0.951350","0.941600","0.73%"
"24.07.2020","0.942000","0.935750","0.946300","0.935350","0.68%"
"23.07.2020","0.935600","0.933250","0.937150","0.932500","0.26%"
"22.07.2020","0.933200","0.936550","0.937100","0.932000","-0.32%"
"21.07.2020","0.936200","0.932350","0.937400","0.931250","0.43%"
"20.07.2020","0.932200","0.933650","0.934500","0.930000","-0.24%"
"17.07.2020","0.934400","0.932250","0.935150","0.931350","0.25%"
"16.07.2020","0.932100","0.935150","0.936100","0.931000","-0.32%"
"15.07.2020","0.935100","0.932600","0.937550","0.931850","0.30%"
"14.07.2020","0.932300","0.932050","0.933550","0.930750","0.03%"
"13.07.2020","0.932000","0.935400","0.936500","0.931700","-0.35%"
"10.07.2020","0.935300","0.932800","0.937750","0.932200","0.29%"
"09.07.2020","0.932600","0.931950","0.933750","0.931000","0.04%"
"08.07.2020","0.932200","0.930050","0.932850","0.928350","0.24%"
"07.07.2020","0.930000","0.931550","0.932550","0.927650","-0.14%"
"06.07.2020","0.931300","0.930200","0.932350","0.927800","0.13%"
"03.07.2020","0.930100","0.930250","0.930850","0.929550","0.00%"
"02.07.2020","0.930100","0.930500","0.931700","0.928150","-0.02%"
"01.07.2020","0.930300","0.926500","0.931450","0.924500","0.42%"
"30.06.2020","0.926400","0.929650","0.930050","0.925950","-0.33%"
"29.06.2020","0.929500","0.932850","0.934200","0.926800","-0.32%"
"26.06.2020","0.932500","0.932550","0.936350","0.931350","-0.02%"
"25.06.2020","0.932700","0.934250","0.934700","0.930550","-0.15%"
"24.06.2020","0.934100","0.938800","0.940050","0.933900","-0.48%"
"23.06.2020","0.938600","0.935400","0.942800","0.932550","0.33%"
"22.06.2020","0.935500","0.935400","0.936700","0.934400","0.00%"
"19.06.2020","0.935500","0.934800","0.936650","0.933950","0.09%"
"18.06.2020","0.934700","0.934550","0.937500","0.933350","0.02%"
"17.06.2020","0.934500","0.931550","0.935000","0.930650","0.32%"
"16.06.2020","0.931500","0.931650","0.932750","0.929000","-0.02%"
"15.06.2020","0.931700","0.931650","0.934650","0.929550","0.03%"
"12.06.2020","0.931400","0.935650","0.938250","0.929700","-0.46%"
"11.06.2020","0.935700","0.933450","0.938300","0.932500","0.24%"
"10.06.2020","0.933500","0.928200","0.934700","0.926900","0.58%"
"09.06.2020","0.928100","0.922150","0.929250","0.921200","0.64%"
"08.06.2020","0.922200","0.911700","0.923900","0.911600","1.07%"
"05.06.2020","0.912400","0.916300","0.917100","0.910250","-0.43%"
"04.06.2020","0.916300","0.918300","0.920700","0.915750","-0.21%"
"03.06.2020","0.918200","0.920100","0.922400","0.917450","-0.20%"
"02.06.2020","0.920000","0.929450","0.930200","0.919300","-1.01%"
"01.06.2020","0.929400","0.928200","0.931300","0.927100","0.22%"
"29.05.2020","0.927400","0.929000","0.933950","0.926750","-0.14%"
"28.05.2020","0.928700","0.928300","0.929600","0.926750","0.05%"
"27.05.2020","0.928200","0.929950","0.931450","0.926250","-0.15%"
"26.05.2020","0.929600","0.928450","0.931100","0.926500","0.14%"
