date,dow(USD),euro_stoxx50(USD),nasdaq(USD),nikkei(USD),oro(USD),petroleo(USD),shangai_stock_exchange(USD),sp_500(USD),BCHAIN-TOTBC,BCHAIN-AVBLS,BCHAIN-MIREV (USD),BCHAIN-HRATE,BCHAIN-ATRCT (SEG),BCHAIN-NTRBL,BCHAIN-NADDU,eur_usd,cny_usd,gbp_usd,BCHAIN-MKPRU (USD)
2015-01-04,47.9,3714.89,50.45,19034.84,1186.8,54.56,3.64,2059.69,50.0,0.000271797180176,0.0,0.0,0.0,1.0,1.0,1.2104,0.1611,1.5545,0.0
2015-01-05,51.69,3615.59,49.05,19531.63,1186.8,54.56,4.025,2108.29,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2104,0.1611,1.5545,0.0
2015-01-06,52.26,3575.04,51.49,20569.87,1240.5,52.325,4.41,2111.73,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1434,0.1612,1.5184,0.0
2015-01-07,51.39,3496.28,48.71,20329.32,1294.2,50.09,3.8,2077.42,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0764,0.1613,1.4823,0.0
2015-01-08,46.525,3342.505,49.365,19247.504999999997,1266.1,59.15,3.38,1995.635,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1202,0.1612,1.5141,0.0
2015-01-09,41.66,3188.73,50.02,18165.69,1280.4,60.2,2.96,1913.85,50.0,0.0,0.0,6.959437748149999e-07,0.0,1.0,0.0,1.0928,0.1613,1.5201,0.0
2015-01-10,42.98,3069.05,52.62,17722.42,1268.5,56.96,2.96,1923.82,750.0,0.000205039978027,0.0,1.5410183585200001e-06,0.0,1.0,14.0,1.1054,0.1613,1.5618,0.0
2015-01-11,48.2,3274.3450000000003,55.67,18867.41,1244.9,51.185,3.04,2013.225,2300.0,0.000205039978027,0.0,5.26928858074e-06,0.0,1.0,31.0,1.11865,0.1592,1.5460500000000001,0.0
2015-01-12,53.42,3479.64,58.72,20012.4,1221.3,45.41,3.12,2102.63,7600.0,0.00020540885205500004,0.0,4.42421399704e-06,0.0,1.0,106.0,1.1319,0.1571,1.5303,0.0
2015-01-13,43.61,3133.86,46.71,17087.71,1182.1,44.74,3.12,2023.03,12050.0,0.000221477465683,0.0,5.71668100741e-06,0.0,1.0,96.0,1.1195,0.1573,1.5129,0.0
2015-01-14,43.43,3089.67,45.66,16795.96,1152.05,43.295,3.12,2011.27,17800.0,0.00020797563635799999,0.0,6.26349397333e-06,0.0,1.0,117.0,1.0913,0.1568,1.5105,0.0
2015-01-15,43.31,3157.36,45.76,17108.7,1122.0,41.85,3.12,1992.67,24100.0,0.00020588768853099999,0.0,6.31320424296e-06,0.0,1.0,126.0,1.0631,0.1563,1.5081,0.0
2015-01-16,44.79,3202.24,46.29,16864.16,1374.5,45.89,3.12,2019.42,30450.0,0.00023054888868000002,0.0,5.76639127704e-06,0.0,1.0,136.0,1.1772,0.1614,1.5159,0.0
2015-01-17,44.79,3202.24,46.29,16864.16,1364.5,48.48,3.12,2019.42,36250.0,0.000208188747538,0.0,5.36870912e-06,0.0,1.0,117.0,1.1789,0.1614,1.5232,0.0
2015-01-18,44.79,3211.5699999999997,46.29,16939.225,1392.8,46.25,3.12,2019.42,41650.0,0.00020812175892,0.0,5.02073723259e-06,0.0,1.0,109.0,1.1631,0.1616,1.5183,0.0
2015-01-19,44.46,3220.9,46.120000000000005,17014.29,1404.9,48.69,3.12,2020.9850000000001,46700.0,0.00020594644074400004,0.0,5.915522085930001e-06,0.0,1.0,101.0,1.157,0.1611,1.5151,0.0
2015-01-20,44.13,3244.92,45.95,17366.3,1341.95,48.769999999999996,3.12,2022.55,52650.0,0.000209383603905,0.0,5.76639127704e-06,0.0,1.0,120.0,1.157,0.1611,1.5151,0.0
2015-01-21,44.74,3269.73,45.7,17280.48,1279.0,48.85,3.12,2032.12,58450.0,0.000221984139804,0.0,5.617260468149998e-06,0.0,1.0,118.0,1.1588,0.16094999999999998,1.5131000000000001,0.0
2015-01-22,45.36,3322.65,46.54,17329.02,1275.9,47.78,3.12,2063.15,64100.0,0.00021699888516299998,0.0,3.7282702222199996e-06,0.0,1.0,115.0,1.1606,0.1608,1.5111,0.0
2015-01-23,44.57,3382.55,46.56,17511.75,1412.4,46.39,3.12,2051.82,67850.0,0.000220743815104,0.0,3.3305880651900002e-06,0.0,1.0,76.0,1.1551,0.1609,1.5145,0.0
2015-01-24,44.57,3382.55,46.56,17511.75,1413.4,47.78,3.12,2051.82,71200.0,0.00021165876246200002,0.0,9.8923436563e-06,0.0,1.0,68.0,1.161,0.161,1.5143,0.0
2015-01-25,44.565,3398.415,46.565,17490.135000000002,1425.2,46.31,3.12,2054.455,81150.0,0.00021526202484599999,0.0,9.64379230815e-06,0.0,1.0,201.0,1.1366,0.1611,1.501,0.0
2015-01-26,44.56,3414.28,46.57,17468.52,1417.6,45.59,3.12,2057.09,90850.0,0.00020691783157799997,0.0,5.76639127704e-06,0.0,1.0,195.0,1.1208,0.1606,1.499,0.0
2015-01-27,44.17,3372.58,46.08,17768.3,1417.6,45.59,3.12,2029.55,96650.0,0.000205853889728,0.0,5.120157771849998e-06,0.0,1.0,116.0,1.1208,0.1606,1.499,0.0
2015-01-28,43.03,3358.96,45.04,17795.73,1411.6,45.370000000000005,3.12,2002.16,101800.0,0.00023128916916299996,0.0,5.120157771849998e-06,0.0,1.0,105.0,1.12235,0.16025,1.5035,0.0
2015-01-29,45.01,3371.83,45.17,17606.22,1405.6,45.15,3.12,2021.25,106950.0,0.000205780695943,0.0,6.06465289481e-06,0.0,1.0,103.0,1.1239,0.1599,1.508,0.0
2015-01-30,45.16,3351.44,45.6,17674.39,1414.7,46.23,3.12,1994.99,113050.0,0.00020548554717500004,0.0,6.0149426251899985e-06,0.0,1.0,122.0,1.1381,0.1602,1.5197,0.0
