date,dow(USD),euro_stoxx50(USD),nasdaq(USD),nikkei(USD),oro(USD),petroleo(USD),shangai_stock_exchange(USD),sp_500(USD),BCHAIN-TOTBC,BCHAIN-AVBLS,BCHAIN-MIREV (USD),BCHAIN-HRATE,BCHAIN-NTRBL,BCHAIN-NADDU,eur_usd,cny_usd,gbp_usd,BCHAIN-MKPRU (USD)
2015-01-04,48.03,3688.18,50.64,19129.75,1184.1,53.73,3.58,2067.63,13727150.0,0.413363230314,761422.01,303832.201585,824.0,212403.0,1.1789,0.1614,1.5236,218.11
2015-01-05,51.26,3615.59,48.84,19510.85,1294.2,47.55,4.2,2087.38,13730725.0,0.38230802548799997,768009.0,325690.633354,731.0,219873.0,1.1633,0.1614,1.5185,205.35
2015-01-06,52.07,3582.08,52.05,20444.54,1266.1,59.79,3.85,2108.64,13734300.0,0.3661553181,677501.44,299460.51523099997,633.0,254267.0,1.1633,0.1614,1.5185,197.12
2015-01-07,51.66,3444.2,48.8,20291.05,1280.4,60.29,2.9,2067.0,13738025.0,0.330078419423,789179.66,325690.633354,703.0,223392.0,1.1592,0.16105,1.5177,211.18
2015-01-09,42.33,3238.95,50.09,18763.72,1268.5,58.98,3.09,1970.09,13741900.0,0.343385597967,826197.1,338805.692415,740.0,197559.0,1.1551,0.1607,1.5169,212.39
2015-01-10,42.59,3113.01,53.46,17479.97,1221.3,48.1,3.09,1919.65,13744900.0,0.420680117607,641951.86,262301.181225,653.0,194860.0,1.1606,0.1608,1.5112,212.99
2015-01-12,52.63,3509.9,58.89,19799.08,1182.1,45.38,3.09,2082.93,13748325.0,0.38801431307800005,739857.6,299460.51523099997,830.0,197159.0,1.1553,0.1608,1.5144,215.2
2015-01-13,44.52,3069.82,47.55,16970.88,1122.0,41.73,3.09,2031.58,13752075.0,0.340373795827,880165.7,327876.476531,683.0,188687.0,1.161,0.161,1.5143,233.9
2015-01-14,43.0,3108.34,46.15,16961.82,1377.4,45.69,3.09,2018.4,13755175.0,0.36177402927,725422.39,271044.553932,565.0,179966.0,1.1366,0.1608,1.501,233.03
2015-01-15,43.8,3112.37,45.67,16872.95,1364.5,46.16,3.09,2013.75,13758200.0,0.380717994753,742971.68,264487.024401,520.0,172854.0,1.1366,0.1608,1.501,244.64
2015-01-16,43.26,3147.53,45.73,16812.96,1380.0,48.6,3.09,1992.25,13761350.0,0.386314664568,781361.82,275416.240286,621.0,256121.0,1.1276000000000002,0.16044999999999998,1.49985,247.11
2015-01-17,43.26,3147.53,45.73,16812.96,1404.9,46.35,3.09,1992.25,13764525.0,0.497747826764,866260.77,277602.083463,540.0,236920.0,1.1186,0.1601,1.4987,271.47
2015-01-18,43.26,3178.075,45.73,16906.87,1342.95,47.650000000000006,3.09,1992.25,13768150.0,0.3737817501199999,967817.14,316947.260646,465.0,204121.0,1.1237,0.16,1.5077,266.03
2015-01-19,44.129999999999995,3208.62,46.165,17000.78,1281.0,48.95,3.09,2006.505,13772100.0,0.285818299161,987528.5,324166.338972,566.0,165874.0,1.1382,0.1602,1.5198,249.25
2015-01-20,45.0,3229.34,46.6,17071.65,1279.4,48.84,3.09,2020.76,13776350.0,0.25317328397,993622.59,348786.567248,692.0,171619.0,1.1287,0.1601,1.5135,233.19
2015-01-21,43.95,3253.45,45.74,17308.72,1380.0,48.69,3.09,2020.19,13779825.0,0.312656443754,802163.46,285184.310868,554.0,167768.0,1.1321,0.1601,1.5068,230.11
2015-01-22,44.98,3270.4,45.69,17306.64,1391.1,46.69,3.09,2034.3,13783700.0,0.312994187878,892843.9,318011.281903,612.0,239182.0,1.17135,0.1606,1.5326499999999998,229.7
2015-01-23,45.15,3345.45,46.46,17520.63,1425.2,47.35,3.09,2062.98,13787950.0,0.252240713905,940487.92,348786.567248,476.0,208727.0,1.2106,0.1611,1.5585,220.72
2015-01-24,45.15,3345.45,46.46,17520.63,1417.6,46.63,3.09,2062.98,13791625.0,0.314943800167,822201.0,301597.796385,501.0,185554.0,1.1284,0.16,1.5086,223.0
