date,dow(USD),euro_stoxx50(USD),nasdaq(USD),nikkei(USD),oro(USD),petroleo(USD),sp_500(USD),BCHAIN-TOTBC,BCHAIN-MIREV (USD),BCHAIN-HRATE,BCHAIN-NTRBL,BCHAIN-NADDU,BCHAIN-MKPRU (USD)
2015-01-15,43.8,3112.37,45.67,16872.95,1380.0,48.6,2013.75,13727150.0,761422.01,303832.201585,824.0,212403.0,218.11
2015-01-16,43.26,3147.53,45.73,16812.96,1404.9,46.35,1992.25,13730725.0,768009.0,325690.633354,731.0,219873.0,205.35
2015-01-17,43.26,3147.53,45.73,16812.96,1342.95,47.650000000000006,1992.25,13734300.0,677501.44,299460.51523099997,633.0,254267.0,197.12
2015-01-18,43.26,3178.075,45.73,16906.87,1281.0,48.95,1992.25,13738025.0,789179.66,325690.633354,703.0,223392.0,211.18
2015-01-19,44.129999999999995,3208.62,46.165,17000.78,1279.4,48.84,2006.505,13741900.0,826197.1,338805.692415,740.0,197559.0,212.39
2015-01-20,45.0,3229.34,46.6,17071.65,1380.0,48.69,2020.76,13744900.0,641951.86,262301.181225,653.0,194860.0,212.99
2015-01-21,43.95,3253.45,45.74,17308.72,1391.1,46.69,2020.19,13748325.0,739857.6,299460.51523099997,830.0,197159.0,215.2
2015-01-22,44.98,3270.4,45.69,17306.64,1425.2,47.35,2034.3,13752075.0,880165.7,327876.476531,683.0,188687.0,233.9
2015-01-23,45.15,3345.45,46.46,17520.63,1417.6,46.63,2062.98,13755175.0,725422.39,271044.553932,565.0,179966.0,233.03
2015-01-24,45.15,3345.45,46.46,17520.63,1417.6,46.63,2062.98,13758200.0,742971.68,264487.024401,520.0,172854.0,244.64
2015-01-25,44.79,3358.74,46.46,17403.17,1411.6,45.915000000000006,2056.7,13761350.0,781361.82,275416.240286,621.0,256121.0,247.11
2015-01-26,44.43,3372.03,46.46,17285.71,1405.6,45.2,2050.42,13764525.0,866260.77,277602.083463,540.0,236920.0,271.47
2015-01-27,43.8,3413.33,46.16,17649.4,1414.7,45.13,2047.86,13768150.0,967817.14,316947.260646,465.0,204121.0,266.03
2015-01-28,44.24,3384.21,46.08,17615.93,1402.2,45.83,2032.34,13772100.0,987528.5,324166.338972,566.0,165874.0,249.25
2015-01-29,44.07,3341.18,45.27,17666.91,1380.2,44.43,2002.45,13776350.0,993622.59,348786.567248,692.0,171619.0,233.19
2015-01-30,44.48,3386.59,45.12,17788.74,1384.6,44.63,2019.35,13779825.0,802163.46,285184.310868,554.0,167768.0,230.11
2015-01-31,45.084999999999994,3278.17,46.67,17788.74,1361.15,49.195,2039.125,13783700.0,892843.9,318011.281903,612.0,239182.0,229.7
2015-02-01,45.69,3169.75,48.22,17662.675000000003,1337.7,53.76,2058.9,13787950.0,940487.92,348786.567248,476.0,208727.0,220.72
2015-02-02,45.32,3356.13,45.61,17536.61,1382.4,47.59,1996.67,13791625.0,822201.0,301597.796385,501.0,185554.0,223.0
2015-02-03,49.14,3594.25,50.37,18869.4,1305.8,49.45,2105.23,13795000.0,801295.88,276977.56810900004,646.0,207461.0,236.51
2015-02-04,47.61,3713.74,50.41,19141.93,1288.2,49.59,2060.03,13799025.0,898474.72,330321.39604099997,618.0,198955.0,222.56
2015-02-05,49.754999999999995,3651.22,50.97,19873.3,1288.0,54.885000000000005,2085.2200000000003,13802700.0,801443.19,301597.796385,690.0,181629.0,217.37
2015-02-06,51.9,3588.7,51.53,20604.67,1287.8,60.18,2110.41,13807075.0,966981.42,359044.995697,658.0,186259.0,220.47
2015-02-07,51.61,3503.11,49.08,20565.94,1261.5,56.87,2078.03,13811375.0,970889.92,352889.93862800003,690.0,180449.0,225.16
2015-02-08,47.065,3349.58,49.855000000000004,19213.875,1237.95,50.565,1997.275,13814575.0,717658.5,262615.76828099997,767.0,251391.0,223.5
2015-02-09,42.52,3196.05,50.63,17861.81,1214.4,44.26,1916.52,13818450.0,856876.32,342533.06066799996,664.0,197636.0,220.39
2015-02-10,42.69,3077.06,51.67,17564.39,1204.2,45.07,1921.77,13822200.0,828682.24,331483.607098,636.0,189629.0,220.16
2015-02-11,51.57,3404.38,58.25,18827.11,1190.4,46.43,2080.76,13825950.0,835570.36,331483.607098,654.0,189188.0,221.99
2015-02-12,53.02,3482.93,58.93,19957.5,1112.4,41.69,2101.71,13829350.0,757105.79,300545.137102,638.0,202264.0,221.83
2015-02-13,49.06,3428.9,49.84,17892.1,1325.2,51.35,2088.78,13832850.0,843389.1,309384.699958,649.0,256202.0,239.94
2015-02-14,49.06,3428.9,49.84,17892.1,1276.7,52.55,2088.78,13836875.0,991297.71,355792.404952,585.0,243646.0,245.31
2015-02-15,49.06,3437.17,49.84,17958.055,1228.2,53.75,2088.78,13840225.0,820538.37,296125.355674,582.0,295507.0,243.99
2015-02-16,48.785,3445.44,49.675,18024.01,1228.7,54.04,2092.625,13844175.0,935184.9,349162.73281,670.0,223579.0,235.86
2015-02-17,48.51,3420.93,49.51,17949.7,1323.3,52.75,2096.47,13848050.0,949160.0,342533.06066799996,569.0,226216.0,244.0
